route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
Limited,72982,401,San Francisco,0,,p_1438486,401,1,1
Limited,72982,405,San Francisco,0,,p_1438486,405,1,1
Limited,72982,409,San Francisco,0,,p_1438486,409,1,1
Limited,72982,413,San Francisco,0,,p_1438486,413,1,1
Limited,72982,417,San Francisco,0,,p_1438486,417,1,1
Limited,72982,421,San Francisco,0,,p_1438486,421,1,1
Limited,72982,425,San Francisco,0,,p_1438486,425,1,1
Limited,72982,429,San Francisco,0,,p_1438486,429,1,1
Limited,72982,404,San Jose Diridon,1,,p_1438487,404,1,1
Limited,72982,408,San Jose Diridon,1,,p_1438487,408,1,1
Limited,72982,412,San Jose Diridon,1,,p_1438487,412,1,1
Limited,72982,416,San Jose Diridon,1,,p_1438487,416,1,1
Limited,72982,420,San Jose Diridon,1,,p_1438487,420,1,1
Limited,72982,424,San Jose Diridon,1,,p_1438487,424,1,1
Limited,72982,428,San Jose Diridon,1,,p_1438487,428,1,1
South County,72982,814,Gilroy,1,,p_1438491,814,1,1
South County,82684,840,Gilroy,1,,p_1438491,840,1,1
South County,72982,816,Gilroy,1,,p_1438491,816,1,1
South County,72982,820,Gilroy,1,,p_1438491,820,1,1
South County,72982,822,Gilroy,1,,p_1438491,822,1,1
South County,82684,848,Gilroy,1,,p_1438491,848,1,1
South County,72982,805,San Jose Diridon,0,,p_1438490,805,1,1
South County,82684,819,San Jose Diridon,0,,p_1438490,819,1,1
South County,72982,807,San Jose Diridon,0,,p_1438490,807,1,1
South County,72982,809,San Jose Diridon,0,,p_1438490,809,1,1
South County,72982,811,San Jose Diridon,0,,p_1438490,811,1,1
South County,82684,825,San Jose Diridon,0,,p_1438490,825,1,1
Local Weekday,72982,143,San Francisco,0,,p_1440479,143,1,1
Local Weekday,82684,M143,San Francisco,0,,p_1440479,M143,1,1
Local Weekday,82682,901,San Francisco,0,,p_1442492,901,1,1
Local Weekday,82683,903,San Francisco,0,,p_1442492,903,1,1
Local Weekday,81964,905,San Francisco,0,,p_1442492,905,1,1
Local Weekday,72982,101,San Francisco,0,,p_1438438,101,1,1
Local Weekday,82684,M101,San Francisco,0,,p_1438438,M101,1,1
Local Weekday,82684,M105,San Francisco,0,,p_1438438,M105,1,1
Local Weekday,72982,105,San Francisco,0,,p_1438438,105,1,1
Local Weekday,82684,M109,San Francisco,0,,p_1438438,M109,1,1
Local Weekday,72982,109,San Francisco,0,,p_1438438,109,1,1
Local Weekday,82684,M117,San Francisco,0,,p_1438438,M117,1,1
Local Weekday,72982,117,San Francisco,0,,p_1438438,117,1,1
Local Weekday,82684,M121,San Francisco,0,,p_1438438,M121,1,1
Local Weekday,72982,121,San Francisco,0,,p_1438438,121,1,1
Local Weekday,82684,M125,San Francisco,0,,p_1438438,M125,1,1
Local Weekday,72982,125,San Francisco,0,,p_1438438,125,1,1
Local Weekday,72982,129,San Francisco,0,,p_1438438,129,1,1
Local Weekday,82684,M129,San Francisco,0,,p_1438438,M129,1,1
Local Weekday,72982,133,San Francisco,0,,p_1438438,133,1,1
Local Weekday,82684,M133,San Francisco,0,,p_1438438,M133,1,1
Local Weekday,82684,M137,San Francisco,0,,p_1438438,M137,1,1
Local Weekday,72982,137,San Francisco,0,,p_1438438,137,1,1
Local Weekday,72982,141,San Francisco,0,,p_1438438,141,1,1
Local Weekday,82684,M141,San Francisco,0,,p_1438438,M141,1,1
Local Weekday,72982,145,San Francisco,0,,p_1438438,145,1,1
Local Weekday,82684,M145,San Francisco,0,,p_1438438,M145,1,1
Local Weekday,82684,M149,San Francisco,0,,p_1438438,M149,1,1
Local Weekday,72982,149,San Francisco,0,,p_1438438,149,1,1
Local Weekday,72982,153,San Francisco,0,,p_1438438,153,1,1
Local Weekday,82684,M153,San Francisco,0,,p_1438438,M153,1,1
Local Weekday,82684,M157,San Francisco,0,,p_1438438,M157,1,1
Local Weekday,72982,157,San Francisco,0,,p_1438438,157,1,1
Local Weekday,82684,M161,San Francisco,0,,p_1438438,M161,1,1
Local Weekday,72982,161,San Francisco,0,,p_1438438,161,1,1
Local Weekday,82684,M165,San Francisco,0,,p_1438438,M165,1,1
Local Weekday,72982,165,San Francisco,0,,p_1438438,165,1,1
Local Weekday,72982,169,San Francisco,0,,p_1438438,169,1,1
Local Weekday,82684,M169,San Francisco,0,,p_1438438,M169,1,1
